[Mon Jan 02 23:40:13 2023] , [3]	, Message from thread 1
[Mon Jan 02 23:40:14 2023] , [3]	, Message from thread 1
[Mon Jan 02 23:40:14 2023] , [3]	, Message from thread 1
[Mon Jan 02 23:40:14 2023] , [3]	, Message from thread 1
[Mon Jan 02 23:40:14 2023] , [3]	, Message from thread 1
[Mon Jan 02 23:40:14 2023] , [3]	, Message from thread 1
[Mon Jan 02 23:40:14 2023] , [3]	, Message from thread 1
[Mon Jan 02 23:40:14 2023] , [3]	, Message from thread 1
[Mon Jan 02 23:40:14 2023] , [3]	, Message from thread 1
[Mon Jan 02 23:40:14 2023] , [3]	, Message from thread 1
[Mon Jan 02 23:40:14 2023] , [3]	, Message from thread 1
[Mon Jan 02 23:40:14 2023] , [3]	, Thread_destroy
